[Name]
Series 1 at Qout

[Data]
Time [ s ],Qout [ kg m s^-3 ]
0.00000000e+000, 0.00000000e+000
1.00000000e+000, 4.75814014e+003
2.00000000e+000, 4.61275293e+003
3.00000000e+000, 4.50725244e+003
4.00000000e+000, 4.42435156e+003
5.00000000e+000, 4.35605566e+003
6.00000000e+000, 4.29804639e+003
7.00000000e+000, 4.24774121e+003
8.00000000e+000, 4.20347656e+003
9.00000000e+000, 4.16411182e+003
1.00000000e+001, 4.12881836e+003
1.10000000e+001, 4.09696094e+003
1.20000000e+001, 4.06802490e+003
1.30000000e+001, 4.04158154e+003
1.40000000e+001, 4.01726953e+003
1.50000000e+001, 3.99477832e+003
1.60000000e+001, 3.97384570e+003
1.70000000e+001, 3.95424976e+003
1.80000000e+001, 3.93580249e+003
1.90000000e+001, 3.91834888e+003
2.00000000e+001, 3.90175757e+003
2.10000000e+001, 3.88592041e+003
2.20000000e+001, 3.87074585e+003
2.30000000e+001, 3.85615649e+003
2.40000000e+001, 3.84208765e+003
2.50000000e+001, 3.82848364e+003
2.60000000e+001, 3.81529663e+003
2.70000000e+001, 3.80248535e+003
2.80000000e+001, 3.79001514e+003
2.90000000e+001, 3.77785449e+003
3.00000000e+001, 3.76597705e+003
3.10000000e+001, 3.75435913e+003
3.20000000e+001, 3.74297998e+003
3.30000000e+001, 3.73182056e+003
3.40000000e+001, 3.72086548e+003
3.50000000e+001, 3.71010083e+003
3.60000000e+001, 3.69951367e+003
3.70000000e+001, 3.68909326e+003
3.80000000e+001, 3.67882935e+003
3.90000000e+001, 3.66871265e+003
4.00000000e+001, 3.65873560e+003
4.10000000e+001, 3.64889038e+003
4.20000000e+001, 3.63917114e+003
4.30000000e+001, 3.62957104e+003
4.40000000e+001, 3.62008643e+003
4.50000000e+001, 3.61071069e+003
4.60000000e+001, 3.60144116e+003
4.70000000e+001, 3.59227295e+003
4.80000000e+001, 3.58320215e+003
4.90000000e+001, 3.57422607e+003
5.00000000e+001, 3.56534106e+003
5.10000000e+001, 3.55654492e+003
5.20000000e+001, 3.54783423e+003
5.30000000e+001, 3.53920972e+003
5.40000000e+001, 3.53066382e+003
5.50000000e+001, 3.52219678e+003
5.60000000e+001, 3.51380591e+003
5.70000000e+001, 3.50549219e+003
5.80000000e+001, 3.49725000e+003
5.90000000e+001, 3.48907837e+003
6.00000000e+001, 3.48097852e+003
6.10000000e+001, 3.47294482e+003
6.20000000e+001, 3.46498022e+003
6.30000000e+001, 3.45707715e+003
6.40000000e+001, 3.44924097e+003
6.50000000e+001, 3.44146582e+003
6.60000000e+001, 3.43375415e+003
6.70000000e+001, 3.42610034e+003
6.80000000e+001, 3.41850879e+003
6.90000000e+001, 3.41097290e+003
7.00000000e+001, 3.40349707e+003
7.10000000e+001, 3.39607422e+003
7.20000000e+001, 3.38870947e+003
7.30000000e+001, 3.38139648e+003
7.40000000e+001, 3.37413745e+003
7.50000000e+001, 3.36693115e+003
7.60000000e+001, 3.35977661e+003
7.70000000e+001, 3.35267261e+003
7.80000000e+001, 3.34561841e+003
7.90000000e+001, 3.33861328e+003
8.00000000e+001, 3.33165625e+003
8.10000000e+001, 3.32474634e+003
