[Name]
Series 1 at Qout

[Data]
Time [ s ],Qout [ kg m s^-3 ]
0.00000000e+000, 0.00000000e+000
1.00000000e+000, 4.57979541e+003
2.00000000e+000, 4.40654980e+003
3.00000000e+000, 4.28444434e+003
4.00000000e+000, 4.19093262e+003
5.00000000e+000, 4.11359619e+003
6.00000000e+000, 4.04454150e+003
7.00000000e+000, 3.99951147e+003
8.00000000e+000, 3.96038623e+003
9.00000000e+000, 3.92641772e+003
1.00000000e+001, 3.89656665e+003
1.10000000e+001, 3.86997363e+003
1.20000000e+001, 3.84600220e+003
1.30000000e+001, 3.82413184e+003
1.40000000e+001, 3.80395020e+003
1.50000000e+001, 3.78513086e+003
1.60000000e+001, 3.76742603e+003
1.70000000e+001, 3.75064771e+003
1.80000000e+001, 3.73465210e+003
1.90000000e+001, 3.71932397e+003
2.00000000e+001, 3.70456885e+003
2.10000000e+001, 3.69030957e+003
2.20000000e+001, 3.67648193e+003
2.30000000e+001, 3.66303320e+003
2.40000000e+001, 3.64991821e+003
2.50000000e+001, 3.63710425e+003
2.60000000e+001, 3.62456104e+003
2.70000000e+001, 3.61226831e+003
2.80000000e+001, 3.60020581e+003
2.90000000e+001, 3.58835889e+003
3.00000000e+001, 3.57671509e+003
3.10000000e+001, 3.56526367e+003
3.20000000e+001, 3.55399463e+003
3.30000000e+001, 3.54289990e+003
3.40000000e+001, 3.53197412e+003
3.50000000e+001, 3.52120679e+003
3.60000000e+001, 3.51059399e+003
3.70000000e+001, 3.50012891e+003
3.80000000e+001, 3.48980566e+003
3.90000000e+001, 3.47961914e+003
4.00000000e+001, 3.46956421e+003
4.10000000e+001, 3.45963647e+003
4.20000000e+001, 3.44983154e+003
4.30000000e+001, 3.44014526e+003
4.40000000e+001, 3.43057422e+003
4.50000000e+001, 3.42111475e+003
4.60000000e+001, 3.41176221e+003
4.70000000e+001, 3.40251538e+003
4.80000000e+001, 3.39337085e+003
4.90000000e+001, 3.38432568e+003
5.00000000e+001, 3.37537842e+003
5.10000000e+001, 3.36652710e+003
5.20000000e+001, 3.35777051e+003
5.30000000e+001, 3.34910693e+003
5.40000000e+001, 3.34053467e+003
5.50000000e+001, 3.33205298e+003
5.60000000e+001, 3.32366040e+003
5.70000000e+001, 3.31535596e+003
5.80000000e+001, 3.30713721e+003
5.90000000e+001, 3.29900195e+003
6.00000000e+001, 3.29094800e+003
6.10000000e+001, 3.28297168e+003
6.20000000e+001, 3.27507104e+003
6.30000000e+001, 3.26724316e+003
6.40000000e+001, 3.25948657e+003
6.50000000e+001, 3.25179932e+003
6.60000000e+001, 3.24418140e+003
6.70000000e+001, 3.23663110e+003
6.80000000e+001, 3.22914722e+003
6.90000000e+001, 3.22172900e+003
7.00000000e+001, 3.21437476e+003
7.10000000e+001, 3.20708228e+003
7.20000000e+001, 3.19984961e+003
7.30000000e+001, 3.19267554e+003
7.40000000e+001, 3.18555957e+003
7.50000000e+001, 3.17850098e+003
7.60000000e+001, 3.17149854e+003
7.70000000e+001, 3.16454517e+003
7.80000000e+001, 3.15763550e+003
7.90000000e+001, 3.15076538e+003
8.00000000e+001, 3.14393140e+003
8.10000000e+001, 3.13713452e+003
8.20000000e+001, 3.13037207e+003
8.30000000e+001, 3.12364429e+003
8.40000000e+001, 3.11694897e+003
8.50000000e+001, 3.11028345e+003
8.60000000e+001, 3.10364575e+003
8.70000000e+001, 3.09703394e+003
8.80000000e+001, 3.09044727e+003
8.90000000e+001, 3.08388550e+003
9.00000000e+001, 3.07734961e+003
9.10000000e+001, 3.07084375e+003
9.20000000e+001, 3.06437036e+003
9.30000000e+001, 3.05793188e+003
9.40000000e+001, 3.05152881e+003
9.50000000e+001, 3.04516260e+003
9.60000000e+001, 3.03883667e+003
9.70000000e+001, 3.03255469e+003
9.80000000e+001, 3.02632031e+003
9.90000000e+001, 3.02013745e+003
1.00000000e+002, 3.01400879e+003
1.01000000e+002, 3.00793848e+003
1.02000000e+002, 3.00193018e+003
1.03000000e+002, 2.99599072e+003
1.04000000e+002, 2.99012891e+003
1.05000000e+002, 2.98436084e+003
1.06000000e+002, 2.97871704e+003
1.07000000e+002, 2.97319141e+003
1.08000000e+002, 2.96773901e+003
1.09000000e+002, 2.96232227e+003
1.10000000e+002, 2.95691162e+003
1.11000000e+002, 2.95150879e+003
1.12000000e+002, 2.94613843e+003
1.13000000e+002, 2.94081665e+003
1.14000000e+002, 2.93555273e+003
1.15000000e+002, 2.93036157e+003
1.16000000e+002, 2.92525806e+003
1.17000000e+002, 2.92023291e+003
1.18000000e+002, 2.91524072e+003
1.19000000e+002, 2.91023462e+003
1.20000000e+002, 2.90516040e+003
1.21000000e+002, 2.90000000e+003
1.22000000e+002, 2.89477783e+003
1.23000000e+002, 2.88953223e+003
1.24000000e+002, 2.88430396e+003
1.25000000e+002, 2.87912793e+003
1.26000000e+002, 2.87400195e+003
1.27000000e+002, 2.86888892e+003
1.28000000e+002, 2.86373828e+003
1.29000000e+002, 2.85850659e+003
1.30000000e+002, 2.85316406e+003
1.31000000e+002, 2.84770142e+003
1.32000000e+002, 2.84210352e+003
1.33000000e+002, 2.83636353e+003
1.34000000e+002, 2.83055225e+003
1.35000000e+002, 2.81821484e+003
1.36000000e+002, 2.80631812e+003
1.37000000e+002, 2.79785278e+003
1.38000000e+002, 2.78577466e+003
1.39000000e+002, 2.77283545e+003
1.40000000e+002, 2.76421875e+003
1.41000000e+002, 2.75560962e+003
1.42000000e+002, 2.74761719e+003
1.43000000e+002, 2.74075781e+003
1.44000000e+002, 2.73325757e+003
1.45000000e+002, 2.72578760e+003
1.46000000e+002, 2.71907739e+003
1.47000000e+002, 2.71290161e+003
1.48000000e+002, 2.70727417e+003
1.49000000e+002, 2.70203540e+003
1.50000000e+002, 2.69681030e+003
1.51000000e+002, 2.69179761e+003
1.52000000e+002, 2.68707397e+003
1.53000000e+002, 2.68255835e+003
1.54000000e+002, 2.67817749e+003
1.55000000e+002, 2.67389258e+003
1.56000000e+002, 2.66962549e+003
1.57000000e+002, 2.66536108e+003
1.58000000e+002, 2.66110352e+003
1.59000000e+002, 2.65683691e+003
1.60000000e+002, 2.65255225e+003
1.61000000e+002, 2.64823999e+003
1.62000000e+002, 2.64390356e+003
1.63000000e+002, 2.63954004e+003
1.64000000e+002, 2.63515039e+003
1.65000000e+002, 2.63074243e+003
1.66000000e+002, 2.62632593e+003
1.67000000e+002, 2.62190747e+003
1.68000000e+002, 2.61748364e+003
1.69000000e+002, 2.61304980e+003
1.70000000e+002, 2.60862012e+003
1.71000000e+002, 2.60419775e+003
1.72000000e+002, 2.59979199e+003
1.73000000e+002, 2.59539966e+003
1.74000000e+002, 2.59101611e+003
1.75000000e+002, 2.58663525e+003
1.76000000e+002, 2.58225879e+003
1.77000000e+002, 2.57789575e+003
1.78000000e+002, 2.57355762e+003
1.79000000e+002, 2.56925366e+003
1.80000000e+002, 2.56499243e+003
1.81000000e+002, 2.56077637e+003
1.82000000e+002, 2.55660376e+003
1.83000000e+002, 2.55247607e+003
1.84000000e+002, 2.54839404e+003
1.85000000e+002, 2.54435840e+003
1.86000000e+002, 2.54036841e+003
1.87000000e+002, 2.53642505e+003
1.88000000e+002, 2.53252563e+003
1.89000000e+002, 2.52866455e+003
1.90000000e+002, 2.52483325e+003
1.91000000e+002, 2.52102075e+003
1.92000000e+002, 2.51721606e+003
1.93000000e+002, 2.51340918e+003
1.94000000e+002, 2.50959204e+003
1.95000000e+002, 2.50575854e+003
1.96000000e+002, 2.50190503e+003
1.97000000e+002, 2.49803027e+003
1.98000000e+002, 2.49413452e+003
