[Name]
Series 1 at Qout

[Data]
Time [ s ],Qout [ kg m s^-3 ]
0.00000000e+000, 0.00000000e+000
1.00000000e+000, 3.41000928e+003
2.00000000e+000, 3.13728125e+003
3.00000000e+000, 2.95449463e+003
4.00000000e+000, 2.82418579e+003
5.00000000e+000, 2.71781763e+003
6.00000000e+000, 2.62227710e+003
7.00000000e+000, 2.59097876e+003
8.00000000e+000, 2.59595850e+003
9.00000000e+000, 2.62469800e+003
1.00000000e+001, 2.60764404e+003
1.10000000e+001, 2.55837915e+003
1.20000000e+001, 2.56677856e+003
1.30000000e+001, 2.61198755e+003
1.40000000e+001, 2.61689233e+003
1.50000000e+001, 2.59951880e+003
1.60000000e+001, 2.57500464e+003
1.70000000e+001, 2.54918164e+003
1.80000000e+001, 2.52407251e+003
1.90000000e+001, 2.50073999e+003
2.00000000e+001, 2.48290479e+003
2.10000000e+001, 2.47069873e+003
2.20000000e+001, 2.46270630e+003
2.30000000e+001, 2.45677515e+003
2.40000000e+001, 2.45126563e+003
2.50000000e+001, 2.44538208e+003
2.60000000e+001, 2.43878687e+003
2.70000000e+001, 2.43163989e+003
2.80000000e+001, 2.42422046e+003
2.90000000e+001, 2.41685083e+003
3.00000000e+001, 2.40981958e+003
3.10000000e+001, 2.40324805e+003
3.20000000e+001, 2.39699976e+003
3.30000000e+001, 2.39074243e+003
3.40000000e+001, 2.38352954e+003
3.50000000e+001, 2.37540771e+003
3.60000000e+001, 2.36605151e+003
3.70000000e+001, 2.35585669e+003
3.80000000e+001, 2.34500439e+003
3.90000000e+001, 2.33313989e+003
4.00000000e+001, 2.32231177e+003
4.10000000e+001, 2.31064844e+003
4.20000000e+001, 2.29677661e+003
4.30000000e+001, 2.28553613e+003
4.40000000e+001, 2.27688721e+003
4.50000000e+001, 2.26942749e+003
4.60000000e+001, 2.26303711e+003
4.70000000e+001, 2.25752637e+003
4.80000000e+001, 2.25277075e+003
4.90000000e+001, 2.24844824e+003
5.00000000e+001, 2.24445215e+003
5.10000000e+001, 2.24143945e+003
5.20000000e+001, 2.23893140e+003
5.30000000e+001, 2.23685645e+003
5.40000000e+001, 2.23501563e+003
5.50000000e+001, 2.23329468e+003
5.60000000e+001, 2.23169824e+003
5.70000000e+001, 2.23020020e+003
5.80000000e+001, 2.22880103e+003
5.90000000e+001, 2.22754370e+003
6.00000000e+001, 2.22648560e+003
6.10000000e+001, 2.22566162e+003
6.20000000e+001, 2.22509473e+003
6.30000000e+001, 2.22452368e+003
6.40000000e+001, 2.22262842e+003
6.50000000e+001, 2.21792310e+003
6.60000000e+001, 2.21354712e+003
6.70000000e+001, 2.21099805e+003
6.80000000e+001, 2.21070483e+003
6.90000000e+001, 2.21211890e+003
7.00000000e+001, 2.21746924e+003
7.10000000e+001, 2.22511890e+003
7.20000000e+001, 2.22615674e+003
7.30000000e+001, 2.22149146e+003
7.40000000e+001, 2.21772949e+003
7.50000000e+001, 2.21560010e+003
7.60000000e+001, 2.21493604e+003
7.70000000e+001, 2.21716895e+003
7.80000000e+001, 2.22122681e+003
7.90000000e+001, 2.22169409e+003
8.00000000e+001, 2.21907813e+003
8.10000000e+001, 2.21506250e+003
8.20000000e+001, 2.20724585e+003
8.30000000e+001, 2.20310571e+003
8.40000000e+001, 2.19862549e+003
8.50000000e+001, 2.19983911e+003
8.60000000e+001, 2.20372656e+003
8.70000000e+001, 2.20276611e+003
8.80000000e+001, 2.20076636e+003
8.90000000e+001, 2.19817822e+003
9.00000000e+001, 2.19045801e+003
9.10000000e+001, 2.18531079e+003
9.20000000e+001, 2.18076025e+003
9.30000000e+001, 2.17058984e+003
9.40000000e+001, 2.16540161e+003
9.50000000e+001, 2.15903931e+003
9.60000000e+001, 2.14860132e+003
9.70000000e+001, 2.13773608e+003
9.80000000e+001, 2.12800488e+003
9.90000000e+001, 2.12187427e+003
1.00000000e+002, 2.11805151e+003
1.01000000e+002, 2.11108008e+003
1.02000000e+002, 2.10445947e+003
1.03000000e+002, 2.10069580e+003
1.04000000e+002, 2.09203760e+003
1.05000000e+002, 2.08044385e+003
1.06000000e+002, 2.07584375e+003
1.07000000e+002, 2.07474658e+003
1.08000000e+002, 2.07779199e+003
1.09000000e+002, 2.08186670e+003
1.10000000e+002, 2.08489990e+003
1.11000000e+002, 2.08669165e+003
1.12000000e+002, 2.08602490e+003
1.13000000e+002, 2.07771094e+003
1.14000000e+002, 2.06724683e+003
1.15000000e+002, 2.05488525e+003
1.16000000e+002, 2.04707617e+003
1.17000000e+002, 2.04254004e+003
1.18000000e+002, 2.04006580e+003
1.19000000e+002, 2.03832507e+003
1.20000000e+002, 2.03618335e+003
1.21000000e+002, 2.02730994e+003
1.22000000e+002, 2.01885632e+003
1.23000000e+002, 2.00828027e+003
1.24000000e+002, 1.99887390e+003
1.25000000e+002, 1.98477246e+003
1.26000000e+002, 1.97129968e+003
1.27000000e+002, 1.96310632e+003
1.28000000e+002, 1.95782410e+003
1.29000000e+002, 1.95337231e+003
1.30000000e+002, 1.94913245e+003
1.31000000e+002, 1.94323181e+003
1.32000000e+002, 1.93436597e+003
1.33000000e+002, 1.92498425e+003
1.34000000e+002, 1.91579614e+003
1.35000000e+002, 1.90810876e+003
1.36000000e+002, 1.90300378e+003
1.37000000e+002, 1.90096692e+003
1.38000000e+002, 1.90323694e+003
1.39000000e+002, 1.91156592e+003
1.40000000e+002, 1.92089771e+003
1.41000000e+002, 1.92623108e+003
1.42000000e+002, 1.92618433e+003
1.43000000e+002, 1.92148389e+003
1.44000000e+002, 1.91530457e+003
1.45000000e+002, 1.91118201e+003
1.46000000e+002, 1.91041528e+003
1.47000000e+002, 1.91038196e+003
1.48000000e+002, 1.91021326e+003
1.49000000e+002, 1.90983813e+003
1.50000000e+002, 1.90867969e+003
1.51000000e+002, 1.90694617e+003
1.52000000e+002, 1.90590894e+003
1.53000000e+002, 1.90752698e+003
1.54000000e+002, 1.91103906e+003
1.55000000e+002, 1.91600342e+003
1.56000000e+002, 1.92078491e+003
1.57000000e+002, 1.92427722e+003
1.58000000e+002, 1.92610303e+003
1.59000000e+002, 1.92610242e+003
1.60000000e+002, 1.92437244e+003
1.61000000e+002, 1.92108850e+003
1.62000000e+002, 1.91642224e+003
1.63000000e+002, 1.91043933e+003
1.64000000e+002, 1.90324536e+003
1.65000000e+002, 1.89695935e+003
1.66000000e+002, 1.89202979e+003
1.67000000e+002, 1.88957080e+003
1.68000000e+002, 1.89072925e+003
1.69000000e+002, 1.89149683e+003
1.70000000e+002, 1.88996008e+003
1.71000000e+002, 1.88619019e+003
1.72000000e+002, 1.88227673e+003
1.73000000e+002, 1.87842859e+003
1.74000000e+002, 1.87469617e+003
1.75000000e+002, 1.87131580e+003
1.76000000e+002, 1.86798499e+003
1.77000000e+002, 1.86447058e+003
1.78000000e+002, 1.86035303e+003
1.79000000e+002, 1.85552991e+003
1.80000000e+002, 1.85054883e+003
1.81000000e+002, 1.84595923e+003
1.82000000e+002, 1.84200281e+003
1.83000000e+002, 1.83905750e+003
1.84000000e+002, 1.83728137e+003
1.85000000e+002, 1.83599866e+003
1.86000000e+002, 1.83458752e+003
1.87000000e+002, 1.83277832e+003
1.88000000e+002, 1.83054736e+003
1.89000000e+002, 1.82790820e+003
1.90000000e+002, 1.82482166e+003
1.91000000e+002, 1.82139990e+003
1.92000000e+002, 1.81785632e+003
1.93000000e+002, 1.81451550e+003
1.94000000e+002, 1.81139978e+003
1.95000000e+002, 1.80837024e+003
1.96000000e+002, 1.80537036e+003
1.97000000e+002, 1.80207056e+003
1.98000000e+002, 1.79806763e+003
1.99000000e+002, 1.79403906e+003
2.00000000e+002, 1.79099170e+003
2.01000000e+002, 1.79004297e+003
2.02000000e+002, 1.79163196e+003
2.03000000e+002, 1.79463586e+003
