[Name]
Series 1 at Xfrac

[Data]
Time [ s ],Xfrac
0.00000000e+000, 1.00000000e+000
4.99999989e-003, 1.00000000e+000
1.49999997e-002, 9.98637259e-001
2.50000004e-002, 9.96996164e-001
3.50000001e-002, 9.95293915e-001
4.50000018e-002, 9.93562520e-001
5.49999997e-002, 9.91741955e-001
6.49999976e-002, 9.89909530e-001
7.50000030e-002, 9.88044381e-001
8.50000009e-002, 9.86133754e-001
9.49999988e-002, 9.84255493e-001
1.04999997e-001, 9.82296586e-001
2.04999998e-001, 9.62136447e-001
3.05000007e-001, 9.42678571e-001
4.05000001e-001, 9.23600316e-001
5.04999995e-001, 9.04927373e-001
6.05000019e-001, 8.86689007e-001
7.04999983e-001, 8.68863761e-001
8.05000007e-001, 8.51456046e-001
9.04999971e-001, 8.34420443e-001
1.00500000e+000, 8.17758262e-001
1.10500002e+000, 8.01468492e-001
1.20500004e+000, 7.85506189e-001
1.30499995e+000, 7.69862175e-001
1.40499997e+000, 7.54525304e-001
1.50500000e+000, 7.39484072e-001
1.60500002e+000, 7.24725425e-001
1.70500004e+000, 7.10233808e-001
1.80499995e+000, 6.96004927e-001
1.90499997e+000, 6.82027578e-001
2.00500011e+000, 6.68292105e-001
2.10500002e+000, 6.54788792e-001
2.20499992e+000, 6.41506910e-001
2.30500007e+000, 6.28438473e-001
2.40499997e+000, 6.15585387e-001
2.50500011e+000, 6.02934957e-001
2.60500002e+000, 5.90480685e-001
2.70499992e+000, 5.78209162e-001
2.80500007e+000, 5.66132426e-001
2.90499997e+000, 5.54233730e-001
3.00500011e+000, 5.42502403e-001
3.10500002e+000, 5.30950069e-001
3.20499992e+000, 5.19561946e-001
3.30500007e+000, 5.08327067e-001
3.40499997e+000, 4.97259170e-001
3.50500011e+000, 4.86342132e-001
3.60500002e+000, 4.75572616e-001
3.70499992e+000, 4.64950860e-001
3.80500007e+000, 4.54466134e-001
3.90499997e+000, 4.44131494e-001
4.00500011e+000, 4.33919638e-001
4.10500002e+000, 4.23856139e-001
4.20499992e+000, 4.13909823e-001
4.30499983e+000, 4.04103935e-001
4.40500021e+000, 3.94411266e-001
4.50500011e+000, 3.84854496e-001
4.60500002e+000, 3.75403792e-001
4.70499992e+000, 3.66086274e-001
4.80499983e+000, 3.56870055e-001
4.90500021e+000, 3.47782731e-001
5.00500011e+000, 3.38794798e-001
5.10500002e+000, 3.29927206e-001
5.20499992e+000, 3.21160734e-001
5.30499983e+000, 3.12501192e-001
5.40500021e+000, 3.03954333e-001
5.50500011e+000, 2.95496553e-001
5.60500002e+000, 2.87155569e-001
5.70499992e+000, 2.78905034e-001
5.80499983e+000, 2.70749986e-001
5.90500021e+000, 2.62708157e-001
6.00500011e+000, 2.54749298e-001
6.10500002e+000, 2.46889830e-001
6.20499992e+000, 2.39133492e-001
6.30499983e+000, 2.31457293e-001
6.40500021e+000, 2.23877773e-001
6.50500011e+000, 2.16399997e-001
6.60500002e+000, 2.09000051e-001
6.70499992e+000, 2.01691478e-001
6.80499983e+000, 1.94488183e-001
6.90500021e+000, 1.87361822e-001
7.00500011e+000, 1.80321231e-001
7.10500002e+000, 1.73383638e-001
7.20499992e+000, 1.66528821e-001
7.30499983e+000, 1.59757048e-001
7.40500021e+000, 1.53074443e-001
7.50500011e+000, 1.46493524e-001
7.60500002e+000, 1.39992595e-001
7.70499992e+000, 1.33578509e-001
7.80499983e+000, 1.27253219e-001
7.90500021e+000, 1.21032007e-001
8.00500011e+000, 1.14894167e-001
8.10499954e+000, 1.08844079e-001
8.20499992e+000, 1.02887474e-001
8.30500031e+000, 9.70262960e-002
8.40499973e+000, 9.12747160e-002
8.50500011e+000, 8.56072083e-002
8.60499954e+000, 8.00376683e-002
8.70499992e+000, 7.45706633e-002
8.80500031e+000, 6.92084581e-002
8.90499973e+000, 6.39664903e-002
9.00500011e+000, 5.88229038e-002
9.10499954e+000, 5.37907332e-002
9.20499992e+000, 4.88772839e-002
9.30500031e+000, 4.40868773e-002
9.40499973e+000, 3.94267216e-002
9.50500011e+000, 3.49116847e-002
9.60499954e+000, 3.05361077e-002
9.70499992e+000, 2.63082609e-002
9.80500031e+000, 2.22449396e-002
9.90499973e+000, 1.83615312e-002
1.00050001e+001, 1.46757998e-002
1.01049995e+001, 1.12099638e-002
1.02049999e+001, 7.99869932e-003
1.03050003e+001, 5.08923829e-003
1.04049997e+001, 2.54954770e-003
1.05050001e+001, 5.39898349e-004
1.06049995e+001, 0.00000000e+000
1.07049999e+001, 0.00000000e+000
1.08050003e+001, 0.00000000e+000


