[Name]
Series 1 at Xfrac

[Data]
Time [ s ],Xfrac
0.00000000e+000, 1.00000000e+000
4.99999989e-003, 1.00000000e+000
1.49999997e-002, 9.98896003e-001
2.50000004e-002, 9.97236729e-001
3.50000001e-002, 9.95592058e-001
4.50000018e-002, 9.93735194e-001
5.49999997e-002, 9.91910040e-001
6.49999976e-002, 9.89996254e-001
7.50000030e-002, 9.88004506e-001
8.50000009e-002, 9.86073315e-001
9.49999988e-002, 9.84063923e-001
1.94999993e-001, 9.62773025e-001
2.94999987e-001, 9.41556156e-001
3.95000011e-001, 9.20258701e-001
4.95000005e-001, 8.99006367e-001
5.95000029e-001, 8.77868056e-001
6.94999993e-001, 8.56853187e-001
7.95000017e-001, 8.36010575e-001
8.94999981e-001, 8.15339267e-001
9.95000005e-001, 7.94852436e-001
1.09500003e+000, 7.74577796e-001
1.19500005e+000, 7.54485548e-001
1.29499996e+000, 7.34624207e-001
1.39499998e+000, 7.14949489e-001
1.49500000e+000, 6.95506871e-001
1.59500003e+000, 6.76265061e-001
1.69500005e+000, 6.57226503e-001
1.79499996e+000, 6.38413370e-001
1.89499998e+000, 6.19788527e-001
1.99500000e+000, 6.01388156e-001
2.09500003e+000, 5.83174050e-001
2.19499993e+000, 5.65162003e-001
2.29500008e+000, 5.47357202e-001
2.39499998e+000, 5.29728949e-001
2.49499989e+000, 5.12306273e-001
2.59500003e+000, 4.95064050e-001
2.69499993e+000, 4.77997452e-001
2.79500008e+000, 4.61130917e-001
2.89499998e+000, 4.44428474e-001
2.99499989e+000, 4.27899539e-001
3.09500003e+000, 4.11563218e-001
3.19499993e+000, 3.95382404e-001
3.29500008e+000, 3.79370958e-001
3.39499998e+000, 3.63546789e-001
3.49499989e+000, 3.47874254e-001
3.59500003e+000, 3.32363784e-001
3.69499993e+000, 3.17037344e-001
3.79500008e+000, 3.01867783e-001
3.89499998e+000, 2.86854565e-001
4.19500017e+000, 2.42841378e-001
4.29500008e+000, 2.28499338e-001
4.39499998e+000, 2.14345068e-001
4.49499989e+000, 2.00364202e-001
4.59499979e+000, 1.86549783e-001
4.69500017e+000, 1.72921300e-001
4.79500008e+000, 1.59498319e-001
4.89499998e+000, 1.46273181e-001
4.99499989e+000, 1.33245736e-001
5.09499979e+000, 1.20438509e-001
5.19500017e+000, 1.07873328e-001
5.29500008e+000, 9.55787897e-002
5.39499998e+000, 8.35503638e-002
5.49499989e+000, 7.18333572e-002
5.59499979e+000, 6.04737438e-002
5.69500017e+000, 4.95432578e-002
5.79500008e+000, 3.91059481e-002
5.89499998e+000, 2.92745437e-002
5.99499989e+000, 2.02281829e-002
6.09499979e+000, 1.22169694e-002
6.19500017e+000, 5.59335016e-003
6.29500008e+000, 8.88227310e-004
6.39499998e+000, 0.00000000e+000
6.49499989e+000, 0.00000000e+000
6.59499979e+000, 0.00000000e+000
6.69500017e+000, 0.00000000e+000
6.79500008e+000, 0.00000000e+000
6.89499998e+000, 0.00000000e+000
6.99499989e+000, 0.00000000e+000
7.09499979e+000, 0.00000000e+000
7.19500017e+000, 0.00000000e+000
7.29500008e+000, 0.00000000e+000
7.39499998e+000, 0.00000000e+000
7.49499989e+000, 0.00000000e+000
7.59499979e+000, 0.00000000e+000


